Invoice number	5306086325																
Invoice date	6/30/25																
Due date																	
Billing ID	7541-9412-8681																
Billing account ID	01075F-52A925-744C3F																
Currency	HKD																
Currency exchange rate	7.8381																
Total amount due	$0.00 																
Billing account name	Billing account ID	Project name	Project ID	Project hierarchy	Service description	Service ID	SKU description	SKU ID	Consumption model description	Credit type	Cost type	Usage start date	Usage end date	Usage amount	Usage unit	Unrounded Cost ($)	Cost ($)
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Finland	B634-22B1-7AAB	Default		Usage	6/17/25	6/30/25	0	gibibyte	0.000006	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	GenerateContent output token count for Gemini 1.5 Flash when input is up to 128k tokens	7DF3-1F04-931A	Default		Usage	6/11/25	6/17/25	8,819	count	0.020716	0.02
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	GenerateContent input token count for Gemini 1.5 Flash when input is up to 128k tokens	D8AE-AF3C-415B	Default		Usage	6/11/25	6/17/25	3,992	count	0.002327	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	GenerateContent input token count for Gemini 1.5 Flash when input is up to 128k tokens	D8AE-AF3C-415B		PROMOTION	Usage	6/11/25	6/17/25			-0.002327	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Internet Data Transfer Out from APAC to South America	B9DE-B1EE-C89A		PROMOTION	Usage	6/11/25	6/29/25			-0.019405	-0.02
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	GenerateContent output token count for Gemini 1.5 Flash when input is up to 128k tokens	7DF3-1F04-931A		PROMOTION	Usage	6/11/25	6/17/25			-0.020716	-0.02
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Internet Data Transfer Out from APAC to South America	B9DE-B1EE-C89A	Default		Usage	6/10/25	6/30/25	0.013	gibibyte	0.019405	0.02
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Internet Data Transfer Out from APAC to Australia	DE01-6833-719A	Default		Usage	6/10/25	6/30/25	0.003	gibibyte	0.003794	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Internet Data Transfer Out from APAC to Middle East	FFFF-B27D-95FA	Default		Usage	6/10/25	6/24/25	0.001	gibibyte	0.001223	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Internet Data Transfer Out from APAC to Africa	7754-7A78-680E	Default		Usage	6/10/25	6/30/25	0	gibibyte	0.000047	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to London	AC6F-9614-3637	Default		Usage	6/10/25	6/30/25	0	gibibyte	0.00001	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Netherlands	B0E6-AE81-1D8D	Default		Usage	6/10/25	6/30/25	0	gibibyte	0.000004	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Virginia	4A5C-C2EE-79E2		PROMOTION	Usage	6/10/25	6/26/25			-0.000059	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Internet Data Transfer Out from APAC to Middle East	FFFF-B27D-95FA		PROMOTION	Usage	6/10/25	6/24/25			-0.001223	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Internet Data Transfer Out from APAC to Australia	DE01-6833-719A		PROMOTION	Usage	6/10/25	6/28/25			-0.003794	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Americas	9DD2-181C-279A		PROMOTION	Usage	6/10/25	6/30/25			-0.070109	-0.07
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Nvidia L4 GPU running in Taiwan	EDE5-960E-2433	Default		Usage	6/9/25	6/20/25	101.804	hour	517.444515	517.44
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	G2 Instance Core running in Taiwan	60FF-EC3A-2E13	Default		Usage	6/9/25	6/20/25	1,629.12	hour	369.459902	369.46
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	G2 Instance Ram running in Taiwan	3F9F-441A-EA47	Default		Usage	6/9/25	6/20/25	6,516.49	gibibyte hour	173.1337	173.13
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Multi-regional Snapshot upload within Asia	65C4-5F7D-ED7E	Default		Usage	6/9/25	6/30/25	70.027	gibibyte	43.910051	43.91
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	VM Manager	5E18-9A83-2867	VM Manager Usage (Cloud Ops)	210B-55F7-AA37	Default		Usage	6/9/25	6/30/25	361	count	8.488554	8.49
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content input token count gemini 2.5 flash short input text	981A-C057-0BF9	Default		Usage	6/9/25	6/30/25	3,470,204	count	8.159802	8.16
